Genome assembly,Cell type class,Cell type,Number of experiments,Experimental IDs included
ce10,Adult,Adult,40,"SRX076077,SRX076078,SRX076079,SRX1030169,SRX1030170,SRX113600,SRX113601,SRX113605,SRX113606,SRX113607,SRX113608,SRX113609,SRX113610,SRX113611,SRX113616,SRX113617,SRX113618,SRX113619,SRX148637,SRX148638,SRX148639,SRX743640,SRX743641,SRX743642,SRX743643,SRX743644,SRX743645,SRX743646,SRX743647,SRX743648,SRX743649,SRX743650,SRX743651,SRX794054,SRX794055,SRX958294,SRX958295,SRX958296,SRX958297,SRX958298"
ce10,Adult,Germline containing young adult,173,"SRX331337,SRX331338,SRX331340,SRX331349,SRX331350,SRX331351,SRX331352,SRX466563,SRX466564,SRX466565,SRX466566,SRX466567,SRX466568,SRX466569,SRX466570,SRX466571,SRX466572,SRX466573,SRX466574,SRX466575,SRX466576,SRX466581,SRX466582,SRX466583,SRX466584,SRX494823,SRX494824,SRX494825,SRX494826,SRX494827,SRX494856,SRX494857,SRX494858,SRX494859,SRX494860,SRX494861,SRX494862,SRX494863,SRX494864,SRX494865,SRX494866,SRX494867,SRX494868,SRX494869,SRX494870,SRX494871,SRX494872,SRX494873,SRX494874,SRX494875,SRX494876,SRX494877,SRX494878,SRX494879,SRX494880,SRX494881,SRX494882,SRX494883,SRX494884,SRX494885,SRX494886,SRX494887,SRX494888,SRX494889,SRX494890,SRX494891,SRX494892,SRX494893,SRX494894,SRX494895,SRX494896,SRX494897,SRX494898,SRX494899,SRX494900,SRX494901,SRX494902,SRX494903,SRX494904,SRX494905,SRX494906,SRX494907,SRX494908,SRX494909,SRX494910,SRX494911,SRX494912,SRX494913,SRX494914,SRX494915,SRX494916,SRX494917,SRX494918,SRX494919,SRX494920,SRX494921,SRX494922,SRX494923,SRX494924,SRX494925,SRX494926,SRX494927,SRX494928,SRX494929,SRX494930,SRX494931,SRX494932,SRX494933,SRX494934,SRX494935,SRX494936,SRX494937,SRX494938,SRX494939,SRX494940,SRX494941,SRX494942,SRX494943,SRX494944,SRX494945,SRX494946,SRX494978,SRX494979,SRX494980,SRX494981,SRX495025,SRX495026,SRX495027,SRX495028,SRX495029,SRX495030,SRX495031,SRX495032,SRX495037,SRX495038,SRX495039,SRX495040,SRX495041,SRX495042,SRX495043,SRX495044,SRX495061,SRX495062,SRX495063,SRX495064,SRX495065,SRX495066,SRX495067,SRX495068,SRX495069,SRX495070,SRX495071,SRX495072,SRX495077,SRX495078,SRX495079,SRX495080,SRX495101,SRX495102,SRX495103,SRX495104,SRX495105,SRX495106,SRX495107,SRX495108,SRX495121,SRX495122,SRX495123,SRX495124,SRX529214,SRX529215,SRX529216,SRX529217"
ce10,Adult,Whole worm,15,"SRX1844113,SRX1844114,SRX2035133,SRX2035134,SRX2035135,SRX2035136,SRX2035137,SRX2035138,SRX2370184,SRX2370185,SRX2370186,SRX2582951,SRX2582952,SRX2582953,SRX2582954"
ce10,Adult,Young adult,283,"SRX005625,SRX005626,SRX005627,SRX005628,SRX005629,SRX005630,SRX005631,SRX005632,SRX005633,SRX005634,SRX005635,SRX005636,SRX012296,SRX012297,SRX012298,SRX012299,SRX012300,SRX043963,SRX043964,SRX043965,SRX043966,SRX054205,SRX054206,SRX054207,SRX054208,SRX054209,SRX054210,SRX054211,SRX065630,SRX065631,SRX065632,SRX065633,SRX080059,SRX080060,SRX080061,SRX080062,SRX080063,SRX080064,SRX080065,SRX080066,SRX080067,SRX080068,SRX080069,SRX080070,SRX080071,SRX080072,SRX080073,SRX080074,SRX080075,SRX1388744,SRX1388745,SRX1388746,SRX1388747,SRX1388748,SRX1388749,SRX1388750,SRX1388751,SRX1388752,SRX1388753,SRX1388754,SRX1388755,SRX1388756,SRX1388757,SRX1388758,SRX1388759,SRX1388760,SRX1388761,SRX1388762,SRX1388763,SRX1388764,SRX1388765,SRX1388766,SRX1388767,SRX1388768,SRX1388769,SRX1388770,SRX1388771,SRX1388772,SRX1388773,SRX1388774,SRX1388775,SRX1388776,SRX1388777,SRX1388778,SRX1388779,SRX146417,SRX146418,SRX146419,SRX146420,SRX151400,SRX151401,SRX151402,SRX151403,SRX1674086,SRX1674087,SRX1674088,SRX1674089,SRX1674090,SRX1674091,SRX1674092,SRX1674093,SRX1674094,SRX1674095,SRX1674096,SRX1674097,SRX1674098,SRX1674099,SRX1674100,SRX1674101,SRX1674102,SRX1674103,SRX1769990,SRX1769991,SRX1769992,SRX1769993,SRX1769994,SRX1769995,SRX1769996,SRX1769997,SRX1769999,SRX1949396,SRX1949397,SRX1949398,SRX2144165,SRX2144166,SRX2144167,SRX2144168,SRX2144169,SRX2144170,SRX2144171,SRX2144172,SRX2144173,SRX2144174,SRX2144175,SRX2144176,SRX2144177,SRX2144178,SRX2144179,SRX2144180,SRX2144181,SRX2144182,SRX2144183,SRX2144184,SRX2144185,SRX2144186,SRX2144187,SRX2144188,SRX2144189,SRX2144190,SRX2144191,SRX2144192,SRX2144193,SRX2144194,SRX2350718,SRX2350719,SRX2350720,SRX2350721,SRX2350722,SRX2350723,SRX2350724,SRX2350725,SRX2350726,SRX2350727,SRX2350728,SRX2350729,SRX2350730,SRX2350731,SRX2350732,SRX2350733,SRX2350734,SRX2350735,SRX2350736,SRX2350737,SRX2350738,SRX2350739,SRX2350740,SRX2350741,SRX2350742,SRX2350743,SRX2350744,SRX2350745,SRX2350746,SRX2350747,SRX2350748,SRX2350749,SRX2350750,SRX2350751,SRX2350752,SRX2350753,SRX2350754,SRX2350755,SRX2350756,SRX235166,SRX235167,SRX235168,SRX235169,SRX2761380,SRX2761381,SRX2761382,SRX2761383,SRX2761384,SRX2761385,SRX2761386,SRX2761387,SRX2761388,SRX2761389,SRX2761390,SRX2761391,SRX323683,SRX323684,SRX323685,SRX323686,SRX323687,SRX323688,SRX331061,SRX331062,SRX331063,SRX331064,SRX331113,SRX331114,SRX331115,SRX331116,SRX331267,SRX331268,SRX331269,SRX331270,SRX331305,SRX331306,SRX331307,SRX331308,SRX331329,SRX331330,SRX331331,SRX331332,SRX3411419,SRX3411420,SRX3411421,SRX373265,SRX373266,SRX373267,SRX373268,SRX373269,SRX373270,SRX373271,SRX373272,SRX373273,SRX373274,SRX373275,SRX373276,SRX373277,SRX373278,SRX395523,SRX395524,SRX395525,SRX395526,SRX395527,SRX395528,SRX395529,SRX395530,SRX395531,SRX395532,SRX467091,SRX467092,SRX467093,SRX467094,SRX554715,SRX554716,SRX554717,SRX554718,SRX554719,SRX554720,SRX554721,SRX554722,SRX554723,SRX554724,SRX554734,SRX554735,SRX707297,SRX707298,SRX707299,SRX982067,SRX982068,SRX982096"
ce10,Embryo,Early embryo,147,"ERX1485062,ERX1485063,ERX1485064,SRX043863,SRX043864,SRX043865,SRX043866,SRX1353657,SRX1353658,SRX1353659,SRX1353660,SRX1353661,SRX1353662,SRX1353663,SRX1353664,SRX1353665,SRX1353666,SRX1353667,SRX1353668,SRX1995023,SRX1995024,SRX1995035,SRX1995047,SRX1995058,SRX1995067,SRX1995068,SRX1995069,SRX2978695,SRX2978696,SRX2978697,SRX2978698,SRX2978699,SRX2978700,SRX2978701,SRX2978702,SRX2978703,SRX2978704,SRX2978705,SRX2978706,SRX2978707,SRX2978708,SRX2978709,SRX2978710,SRX331333,SRX331334,SRX331335,SRX331336,SRX466499,SRX466500,SRX466501,SRX466502,SRX466503,SRX466504,SRX466505,SRX466506,SRX466507,SRX466508,SRX466509,SRX466510,SRX466511,SRX466512,SRX466513,SRX466514,SRX466515,SRX466516,SRX466517,SRX466518,SRX466519,SRX466520,SRX466521,SRX466522,SRX466523,SRX466524,SRX466525,SRX466526,SRX466527,SRX466528,SRX466529,SRX466530,SRX466531,SRX466532,SRX466533,SRX466534,SRX466535,SRX466536,SRX466537,SRX466538,SRX466539,SRX466540,SRX466541,SRX466542,SRX466543,SRX466544,SRX466545,SRX466546,SRX466547,SRX466548,SRX466549,SRX466550,SRX466551,SRX466552,SRX466553,SRX466554,SRX466555,SRX466556,SRX466557,SRX466558,SRX466559,SRX466560,SRX466561,SRX466562,SRX494832,SRX494833,SRX494834,SRX494835,SRX494840,SRX494841,SRX494842,SRX494843,SRX494844,SRX494845,SRX494846,SRX494847,SRX494848,SRX494849,SRX494850,SRX494851,SRX494852,SRX494853,SRX494854,SRX494855,SRX495109,SRX495110,SRX495111,SRX495112,SRX495113,SRX495114,SRX495115,SRX495116,SRX495117,SRX495118,SRX495119,SRX495120,SRX514727,SRX514728,SRX514729,SRX514730"
ce10,Embryo,Embryos,200,"SRX002673,SRX002674,SRX003830,SRX003831,SRX003832,SRX003833,SRX005648,SRX005649,SRX013986,SRX043855,SRX043856,SRX043857,SRX043858,SRX043979,SRX043980,SRX043981,SRX043982,SRX043995,SRX043996,SRX043997,SRX043998,SRX1099836,SRX1099837,SRX1099838,SRX1099839,SRX1099840,SRX1099841,SRX1099842,SRX113602,SRX113603,SRX113604,SRX212235,SRX212236,SRX246024,SRX246025,SRX246026,SRX246027,SRX246028,SRX246029,SRX246038,SRX257640,SRX257641,SRX257642,SRX257643,SRX257644,SRX257645,SRX257646,SRX257647,SRX257648,SRX257649,SRX257650,SRX257651,SRX257652,SRX257653,SRX257654,SRX257655,SRX257656,SRX257657,SRX257658,SRX257659,SRX257660,SRX257661,SRX257662,SRX257663,SRX257664,SRX257665,SRX257666,SRX257667,SRX257668,SRX257669,SRX257670,SRX257671,SRX257672,SRX257673,SRX257674,SRX257675,SRX257676,SRX257677,SRX257678,SRX257679,SRX257680,SRX257681,SRX257682,SRX257683,SRX257684,SRX257685,SRX257686,SRX257687,SRX257688,SRX257689,SRX257690,SRX257691,SRX257692,SRX257693,SRX257694,SRX257695,SRX257696,SRX257697,SRX257698,SRX257699,SRX257700,SRX257701,SRX257702,SRX257703,SRX257704,SRX257705,SRX257706,SRX257707,SRX257708,SRX257709,SRX277041,SRX277042,SRX277043,SRX277044,SRX277049,SRX277050,SRX277051,SRX277052,SRX277082,SRX277083,SRX277084,SRX277085,SRX312079,SRX312080,SRX312081,SRX312082,SRX312083,SRX331139,SRX331140,SRX331141,SRX331142,SRX331153,SRX331154,SRX331155,SRX331156,SRX331161,SRX331162,SRX331163,SRX331164,SRX331185,SRX331186,SRX331187,SRX331188,SRX331189,SRX331190,SRX331191,SRX331192,SRX331193,SRX331194,SRX331195,SRX331196,SRX331197,SRX331198,SRX331199,SRX331200,SRX331221,SRX331222,SRX331223,SRX331224,SRX331225,SRX331226,SRX331227,SRX331228,SRX331241,SRX331242,SRX331243,SRX331244,SRX331277,SRX331278,SRX331279,SRX331280,SRX331281,SRX331282,SRX331283,SRX331284,SRX331289,SRX331290,SRX331291,SRX331292,SRX331317,SRX331318,SRX331319,SRX331320,SRX982060,SRX982061,SRX982062,SRX982063,SRX982064,SRX982069,SRX982070,SRX982071,SRX982072,SRX982073,SRX982074,SRX982075,SRX982076,SRX982077,SRX982097,SRX982107,SRX982108"
ce10,Embryo,Late embryo,94,"SRX043867,SRX043868,SRX043869,SRX043870,SRX043975,SRX043976,SRX043977,SRX043978,SRX044003,SRX044004,SRX044005,SRX044006,SRX146413,SRX146414,SRX146415,SRX146416,SRX2576620,SRX2576621,SRX2576622,SRX2576623,SRX2576624,SRX2576625,SRX2576626,SRX2576627,SRX2576628,SRX2576629,SRX2576630,SRX2576631,SRX2576632,SRX2576633,SRX2576634,SRX2576635,SRX2576636,SRX2576637,SRX2576638,SRX2576639,SRX2576640,SRX2576641,SRX2576642,SRX2576643,SRX2576644,SRX2576645,SRX2576646,SRX2576647,SRX2576648,SRX2576649,SRX2576650,SRX2576651,SRX2576652,SRX2576653,SRX2576654,SRX2576655,SRX2576656,SRX2576657,SRX2576658,SRX2576659,SRX2576660,SRX2576661,SRX2576662,SRX2576663,SRX2576664,SRX2576665,SRX331229,SRX331230,SRX331231,SRX331232,SRX331245,SRX331246,SRX331247,SRX331248,SRX331301,SRX331302,SRX331303,SRX331304,SRX331313,SRX331314,SRX331315,SRX331316,SRX331325,SRX331326,SRX331327,SRX331328,SRX335101,SRX335102,SRX335103,SRX335104,SRX494828,SRX494829,SRX494830,SRX494831,SRX529218,SRX529219,SRX529220,SRX529221"
ce10,Embryo,Mid embryo,4,"SRX2710279,SRX2710280,SRX2710281,SRX2710282"
ce10,Embryo,Mixed embryo,219,"SRX027097,SRX027098,SRX027210,SRX027211,SRX059266,SRX2011718,SRX2011719,SRX2011720,SRX2011721,SRX2011722,SRX2011723,SRX2011724,SRX2011725,SRX208755,SRX208756,SRX208763,SRX208764,SRX208765,SRX208766,SRX208767,SRX208768,SRX208769,SRX208770,SRX208771,SRX208772,SRX208773,SRX208774,SRX208775,SRX208776,SRX208777,SRX208778,SRX2228847,SRX2228848,SRX2228849,SRX2228850,SRX2228851,SRX2228852,SRX2228853,SRX2228854,SRX2228855,SRX2228856,SRX2228857,SRX2228858,SRX2228859,SRX2228860,SRX2228861,SRX2228862,SRX2228863,SRX2228864,SRX2228865,SRX2228866,SRX2228867,SRX2228868,SRX2228869,SRX2228870,SRX2228871,SRX2228872,SRX2228873,SRX2228874,SRX2228875,SRX2228876,SRX2228877,SRX2228878,SRX2228879,SRX2228880,SRX2228881,SRX2228882,SRX2228883,SRX2228884,SRX2228885,SRX2228886,SRX2228887,SRX2228888,SRX2228889,SRX2228890,SRX2228891,SRX2228892,SRX2228893,SRX2228894,SRX2228895,SRX2228896,SRX2228897,SRX2228898,SRX2228899,SRX2228900,SRX2228901,SRX2228902,SRX2228903,SRX2228904,SRX2228905,SRX2228906,SRX2228907,SRX2228908,SRX2228909,SRX2228910,SRX2228911,SRX2228912,SRX2228913,SRX2228914,SRX2228915,SRX2228916,SRX2228917,SRX2228918,SRX2958247,SRX2958248,SRX2958249,SRX331353,SRX331354,SRX331355,SRX331356,SRX331357,SRX331358,SRX331359,SRX331360,SRX331361,SRX331362,SRX331363,SRX331364,SRX341784,SRX341785,SRX341786,SRX341787,SRX341788,SRX341789,SRX466585,SRX466586,SRX466587,SRX466588,SRX494982,SRX494983,SRX494984,SRX494985,SRX494990,SRX494991,SRX494992,SRX494993,SRX494994,SRX494995,SRX494996,SRX494997,SRX494998,SRX494999,SRX495000,SRX495001,SRX495002,SRX495003,SRX495004,SRX495005,SRX495006,SRX495007,SRX495008,SRX495009,SRX495010,SRX495011,SRX495012,SRX495013,SRX495014,SRX495015,SRX495016,SRX495017,SRX495018,SRX495019,SRX495020,SRX495021,SRX495022,SRX495023,SRX495024,SRX495033,SRX495034,SRX495035,SRX495036,SRX495045,SRX495046,SRX495047,SRX495048,SRX495049,SRX495050,SRX495051,SRX495052,SRX495053,SRX495054,SRX495055,SRX495056,SRX495057,SRX495058,SRX495059,SRX495060,SRX495073,SRX495074,SRX495075,SRX495076,SRX495081,SRX495082,SRX495083,SRX495084,SRX495085,SRX495086,SRX495087,SRX495088,SRX495089,SRX495090,SRX495091,SRX495092,SRX495093,SRX495094,SRX495095,SRX495096,SRX657410,SRX657411,SRX982084,SRX982085,SRX982089,SRX982090,SRX982091,SRX982092,SRX982093,SRX982098,SRX982099,SRX982100"
ce10,Larvae,L1,229,"SRX002675,SRX002676,SRX005650,SRX005651,SRX013987,SRX043851,SRX043852,SRX043853,SRX043854,SRX043871,SRX043872,SRX043873,SRX043874,SRX043983,SRX043984,SRX043985,SRX043986,SRX043991,SRX043992,SRX043993,SRX043994,SRX043999,SRX044000,SRX044001,SRX044002,SRX044007,SRX044008,SRX044009,SRX044010,SRX044011,SRX044012,SRX044013,SRX044014,SRX065622,SRX065623,SRX065624,SRX065625,SRX065683,SRX065684,SRX065685,SRX065686,SRX065695,SRX065696,SRX065697,SRX065698,SRX065707,SRX065708,SRX065709,SRX065710,SRX080076,SRX080077,SRX080078,SRX080079,SRX080080,SRX080081,SRX080082,SRX080083,SRX080084,SRX080085,SRX080086,SRX080087,SRX080088,SRX080089,SRX080090,SRX080091,SRX080092,SRX080093,SRX080094,SRX080095,SRX080096,SRX080097,SRX080098,SRX080099,SRX080100,SRX080101,SRX080102,SRX080103,SRX080104,SRX080105,SRX080106,SRX1010104,SRX1010106,SRX1010107,SRX1010108,SRX1010109,SRX120284,SRX120285,SRX120286,SRX120287,SRX146421,SRX146422,SRX146423,SRX146424,SRX146458,SRX146459,SRX146460,SRX146461,SRX146462,SRX146463,SRX146464,SRX146465,SRX146466,SRX146467,SRX146468,SRX146469,SRX146514,SRX146515,SRX146516,SRX146517,SRX147611,SRX147612,SRX147613,SRX147614,SRX147643,SRX147644,SRX147645,SRX147646,SRX222636,SRX222637,SRX222638,SRX222639,SRX233415,SRX233416,SRX233417,SRX233418,SRX233451,SRX233452,SRX233453,SRX233454,SRX233455,SRX233456,SRX233457,SRX233458,SRX233459,SRX233460,SRX233461,SRX233462,SRX234910,SRX234911,SRX234912,SRX234913,SRX234922,SRX234923,SRX234924,SRX234925,SRX235170,SRX235171,SRX235172,SRX235173,SRX245912,SRX245913,SRX245914,SRX245915,SRX245916,SRX245917,SRX277020,SRX277021,SRX277022,SRX277023,SRX277057,SRX277058,SRX277059,SRX277060,SRX277086,SRX277087,SRX277088,SRX277089,SRX331041,SRX331042,SRX331043,SRX331044,SRX331069,SRX331070,SRX331071,SRX331072,SRX331081,SRX331082,SRX331083,SRX331084,SRX331085,SRX331086,SRX331087,SRX331088,SRX331101,SRX331102,SRX331103,SRX331104,SRX331105,SRX331106,SRX331107,SRX331108,SRX331117,SRX331118,SRX331119,SRX331120,SRX331165,SRX331166,SRX331167,SRX331168,SRX331169,SRX331170,SRX331171,SRX331172,SRX331181,SRX331182,SRX331183,SRX331184,SRX331233,SRX331234,SRX331235,SRX331236,SRX331237,SRX331238,SRX331239,SRX331240,SRX331257,SRX331258,SRX331259,SRX331260,SRX467177,SRX467178,SRX467179,SRX467180,SRX515118,SRX515119,SRX515120,SRX515121,SRX657408,SRX657409"
