,BATCH,source_name,tissue,age,treatment,genotype,lab,age,health state,cell_type,tissue_type,provider,sex
DRX000201,,,,,,,,,,,,,
DRX000203,,,,,,,,,,,,,
DRX000205,,,,,,,,,,,,,
DRX000207,,,,,,,,,,,,,
DRX000209,,,,,,,,,,,,,
DRX000211,,,,,,,,,,,,,
DRX000213,,,,,,,,,,,,,
DRX000342,,,,,,,,,,EB5,,,
DRX000343,,,,,,,,,,EB5,,,
DRX000353,,,,,,,,,,,,,
DRX000355,,,,,,,,,,,,,
DRX000546,,,,,,,,,,,,,
DRX000549,,,,,,,,,,,,,
DRX000550,,,,,,,,,,,,,
DRX000744,,,,,,,,,,,,,
DRX000745,,,,,,,,,,,,,
DRX000746,,,,,,,,,,,,,
DRX000747,,,,,,,,,,,,,
DRX001178,,,,,,,,,,,,,
DRX001179,,,,,,,,,,,,,
DRX001180,,,,,,,,,,,,,
DRX001181,,,,,,,,,,,,,
DRX001328,,,,,,,,,,,,,
DRX001329,,,,,,,,,,,,,
DRX001457,,,,,,,,,,,,,
DRX001458,,,,,,,,,,,,,
DRX001459,,,,,,,,,,,,,
DRX001460,,,,,,,,,,,,,
DRX001461,,,,,,,,,,,,,
DRX001462,,,,,,,,,,,,,
DRX001463,,,,,,,,,,,,,
DRX001818,,,,,,,,,,,,,
DRX001911,,,,,,,,,,,,,
DRX002644,,,,,,,,,,,,,
DRX002645,,,,,,,,,,,,,
DRX002646,,,,,,,,,,,,,
DRX002647,,,,,,,,,,,,,
DRX002667,,,,,,,,,,,,,
DRX002668,,,,,,,,,,,,,
DRX002669,,,,,,,,,,,,,
DRX002670,,,,,,,,,,,,,
DRX002671,,,,,,,,,,,,,
DRX002672,,,,,,,,,,,,,
DRX002673,,,,,,,,,,,,,
DRX002674,,,,,,,,,,,,,
DRX002907,,,,,,,,,,,,,
DRX002908,,,,,,,,,,,,,
DRX002909,,,,,,,,,,,,,
DRX002910,,,,,,,,,,,,,
DRX002911,,,,,,,,,,,,,
DRX002912,,,,,,,,,,,,,
DRX002913,,,,,,,,,,,,,
DRX002914,,,,,,,,,,,,,
DRX002915,,,,,,,,,,,,,
DRX002916,,,,,,,,,,,,,
DRX002917,,,,,,,,,,,,,
DRX002918,,,,,,,,,,,,,
DRX003661,,,,,,,,,,,,,
DRX003662,,,,,,,,,,,,,
DRX003663,,,,,,,,,,,,,
DRX003664,,,,,,,,,,,,,
DRX005725,,,,,,,,,,,,,
DRX005726,,,,,,,,,,,,,
DRX005727,,,,,,,,,,,,,
DRX005728,,,,,,,,,,,,,
DRX005729,,,,,,,,,,,,,
DRX005730,,,,,,,,,,,,,
DRX009155,,,,,,,,,,,,,
DRX009156,,,,,,,,,,,,,
DRX009157,,,,,,,,,,,,,
DRX009158,,,,,,,,,,,,,
DRX009159,,,,,,,,,,,,,
DRX009160,,,,,,,,,,,,,
DRX009161,,,,,,,,,,,,,
DRX009162,,,,,,,,,,,,,
DRX009163,,,,,,,,,,,,,
DRX009164,,,,,,,,,,,,,
DRX009165,,,,,,,,,,,,,
DRX009166,,,,,,,,,,,,,
DRX009167,,,,,,,,,,,,,
DRX009168,,,,,,,,,,,,,
DRX009169,,,,,,,,,,,,,
DRX009170,,,,,,,,,,,,,
DRX009171,,,,,,,,,,,,,
DRX009172,,,,,,,,,,,,,
DRX009173,,,,,,,,,,,,,
DRX009174,,,,,,,,,,,,,
DRX009175,,,,,,,,,,,,,
DRX009176,,,,,,,,,,,,,
DRX009177,,,,,,,,,,,,,
DRX009178,,,,,,,,,,,,,
DRX009179,,,,,,,,,,,,,
DRX009180,,,,,,,,,,,,,
DRX009181,,,,,,,,,,,,,
DRX009182,,,,,,,,,,,,,
DRX009183,,,,,,,,,,,,,
DRX009184,,,,,,,,,,,,,
DRX009275,,,,,,,,,,,,,
DRX009276,,,,,,,,,,,,,
DRX009277,,,,,,,,,,,,,
