"sample_number" "antibody"
"ERX329611" NA
"ERX329612" NA
"ERX329613" NA
"ERX329614" NA
"ERX329615" NA
"ERX329616" NA
"ERX329617" NA
"ERX329618" NA
"ERX329619" NA
"ERX329620" NA
"ERX329621" NA
"ERX329622" NA
"ERX329623" NA
"ERX329624" NA
"ERX329625" NA
"ERX329626" NA
"ERX329627" NA
"ERX329628" NA
"ERX329629" NA
"ERX329630" NA
"ERX329631" NA
"ERX329632" NA
"ERX329633" NA
"ERX329634" NA
"ERX329635" NA
"ERX329636" NA
"ERX329637" NA
"ERX329638" NA
"ERX329639" NA
"ERX329640" NA
"ERX329641" NA
"ERX329642" NA
"ERX329643" NA
"ERX329644" NA
"ERX329645" NA
"ERX329646" NA
"ERX329647" NA
"ERX329648" NA
"ERX329649" NA
"ERX329650" NA
"ERX329651" NA
"ERX329652" NA
"ERX329653" NA
"ERX329654" NA
"ERX329655" NA
"ERX329656" NA
"ERX329657" NA
"ERX329658" NA
"ERX329659" NA
"ERX329660" NA
"ERX329661" NA
"ERX329662" NA
"ERX329663" NA
"ERX329664" NA
"ERX329665" NA
"ERX329666" NA
"ERX329667" NA
"ERX329668" NA
"ERX329669" NA
"ERX329670" NA
"ERX329671" NA
"ERX329672" NA
"ERX329673" NA
"ERX329674" NA
"ERX329675" NA
"ERX329676" NA
"ERX329677" NA
"ERX329678" NA
"ERX329679" NA
"ERX329680" NA
"ERX329681" NA
"ERX329682" NA
"ERX329683" NA
"ERX329684" NA
"ERX329685" NA
"ERX329686" NA
"ERX329687" NA
"ERX329688" NA
"ERX329689" NA
"ERX329690" NA
"ERX329691" NA
"ERX329692" NA
"ERX329693" NA
"ERX329694" NA
"ERX329695" NA
"ERX329696" NA
"ERX329697" NA
"ERX329698" NA
"ERX329699" NA
"ERX329700" NA
"ERX329701" NA
"ERX329702" NA
"ERX329703" NA
"ERX329704" NA
"ERX329705" NA
"ERX329706" NA
"ERX329707" NA
"ERX329708" NA
"ERX329709" NA
"ERX329710" NA
"ERX329711" NA
"ERX329712" NA
"ERX329713" NA
"ERX329714" NA
"ERX329715" NA
"ERX329716" NA
"ERX329717" NA
"ERX329718" NA
"ERX329719" NA
"SRX022390" "anti-vdr"
"SRX022391" "anti-vdr"
"SRX022392" "anti-vdr"
"SRX022393" "anti-vdr"
"SRX022394" "anti-vdr"
"SRX022395" "anti-vdr"
"SRX022396" "anti-vdr"
"SRX022397" "anti-vdr"
"SRX022398" "none"
"SRX022399" "none"
"SRX026054" NA
"SRX026069" NA
"SRX027298" NA
"SRX027299" NA
"SRX027300" NA
"SRX027307" NA
"SRX091576" NA
"SRX091577" NA
"SRX091578" NA
"SRX091579" NA
"SRX091580" NA
"SRX091581" NA
"SRX091582" NA
"SRX091585" NA
"SRX091586" NA
"SRX091587" NA
"SRX091589" NA
"SRX091590" NA
"SRX091591" NA
"SRX091592" NA
"SRX091594" NA
"SRX091595" NA
"SRX091596" NA
"SRX091598" NA
"SRX091599" NA
"SRX091600" NA
"SRX091602" NA
"SRX091603" NA
"SRX091604" NA
"SRX091605" NA
"SRX091606" NA
"SRX091609" NA
"SRX091610" NA
"SRX091611" NA
"SRX091612" NA
"SRX091613" NA
"SRX091614" NA
"SRX091615" NA
"SRX091616" NA
"SRX091617" NA
"SRX091618" NA
"SRX091619" NA
"SRX091620" NA
"SRX091623" NA
"SRX091624" NA
"SRX091625" NA
"SRX091626" NA
"SRX091628" NA
"SRX091630" NA
"SRX091631" NA
"SRX091633" NA
"SRX091634" NA
"SRX091635" NA
"SRX091636" NA
"SRX091637" NA
"SRX091638" NA
"SRX091639" NA
"SRX091642" NA
"SRX091643" NA
"SRX1027609" NA
"SRX1027610" NA
"SRX1027611" NA
"SRX1027612" NA
"SRX1027613" NA
"SRX1027614" NA
"SRX1027615" NA
"SRX1027616" NA
"SRX1027617" NA
"SRX1027618" NA
"SRX1027619" NA
"SRX106079" NA
"SRX106080" NA
"SRX106082" NA
"SRX106084" NA
"SRX106085" NA
"SRX106087" NA
"SRX144520" NA
"SRX144521" NA
"SRX144523" NA
"SRX144525" NA
"SRX144527" NA
"SRX1491920" NA
"SRX1491921" NA
"SRX1491922" NA
"SRX2245086" NA
"SRX2245087" NA
"SRX2245088" NA
"SRX2245089" NA
"SRX2245090" NA
"SRX2245091" NA
"SRX2245092" NA
"SRX256993" NA
"SRX256994" NA
"SRX256995" NA
"SRX256996" NA
"SRX256997" NA
"SRX256998" NA
"SRX256999" NA
"SRX257000" NA
"SRX2778364" NA
"SRX2778365" NA
"SRX2778366" NA
"SRX2778367" NA
"SRX2778368" NA
"SRX2778369" NA
"SRX2778370" NA
"SRX2778371" NA
"SRX2778372" NA
"SRX2778373" NA
"SRX2778374" NA
"SRX2778375" NA
"SRX2778376" NA
"SRX2778377" NA
"SRX2778378" NA
"SRX2778379" NA
"SRX2778380" NA
"SRX2778381" NA
"SRX2778382" NA
"SRX2778383" NA
"SRX2778384" NA
"SRX2778385" NA
"SRX2778386" NA
"SRX2778387" NA
"SRX2778388" NA
"SRX2778389" NA
"SRX2778390" NA
"SRX2778391" NA
"SRX2778392" NA
"SRX2778393" NA
"SRX2778394" NA
"SRX2778395" NA
"SRX2778396" NA
"SRX2778397" NA
"SRX2778398" NA
"SRX2778399" NA
"SRX2778400" NA
"SRX2778401" NA
"SRX306535" NA
"SRX306536" NA
"SRX306538" NA
"SRX306540" NA
"SRX306545" NA
"SRX306546" NA
"SRX306548" NA
"SRX306550" NA
"SRX306555" NA
"SRX306556" NA
"SRX306558" NA
"SRX306560" NA
"SRX306565" NA
"SRX306566" NA
"SRX306568" NA
"SRX306570" NA
"SRX306575" NA
"SRX306576" NA
"SRX306578" NA
"SRX306580" NA
"SRX356482" "ctcf"
"SRX356483" "ctcf"
"SRX356484" "ctcf"
"SRX356485" "h3k27ac"
"SRX356486" "h3k27ac"
"SRX356487" "h3k27me3"
"SRX356488" "h3k27me3"
"SRX356489" "h3k36me3"
"SRX356490" "h3k36me3"
"SRX356491" "h3k36me3"
"SRX356492" "h3k4me1"
"SRX356493" "h3k4me1"
"SRX356494" "h3k4me3"
"SRX356495" "h3k4me3"
"SRX356499" "sa1"
"SRX356500" "sa1"
"SRX356545" "ctcf"
"SRX356546" "ctcf"
"SRX356547" "ctcf"
"SRX356548" "h3k27ac"
"SRX356549" "h3k27ac"
"SRX356550" "h3k27me3"
"SRX356551" "h3k27me3"
"SRX356552" "h3k36me3"
"SRX356553" "h3k36me3"
"SRX356554" "h3k4me1"
"SRX356555" "h3k4me1"
"SRX356556" "h3k4me3"
"SRX356557" "h3k4me3"
"SRX356559" "sa1"
"SRX356560" "sa1"
"SRX356712" "ctcf"
"SRX356713" "ctcf"
"SRX356714" "ctcf"
"SRX356715" "h3k27ac"
"SRX356716" "h3k27ac"
"SRX356717" "h3k27me3"
"SRX356718" "h3k27me3"
"SRX356719" "h3k36me3"
"SRX356720" "h3k36me3"
"SRX356721" "h3k4me1"
"SRX356722" "h3k4me1"
"SRX356723" "h3k4me3"
"SRX356724" "h3k4me3"
"SRX356728" "sa1"
"SRX356729" "sa1"
"SRX356730" "ctcf"
"SRX356731" "ctcf"
"SRX356732" "ctcf"
"SRX356733" "h3k27ac"
"SRX356734" "h3k27ac"
"SRX356735" "h3k27me3"
"SRX356736" "h3k27me3"
"SRX356737" "h3k36me3"
"SRX356738" "h3k36me3"
"SRX356739" "h3k4me1"
"SRX356740" "h3k4me1"
"SRX356741" "h3k4me3"
"SRX356742" "h3k4me3"
"SRX356746" "sa1"
"SRX356747" "sa1"
"SRX356748" "ctcf"
"SRX356749" "ctcf"
"SRX356750" "ctcf"
"SRX356751" "h3k27ac"
"SRX356752" "h3k27ac"
"SRX356753" "h3k27me3"
"SRX356754" "h3k27me3"
"SRX356755" "h3k36me3"
"SRX356756" "h3k36me3"
"SRX356757" "h3k4me1"
"SRX356758" "h3k4me1"
"SRX356759" "h3k4me3"
"SRX356760" "h3k4me3"
"SRX356764" "sa1"
"SRX356765" "sa1"
"SRX356766" "ctcf"
"SRX356767" "ctcf"
"SRX356768" "ctcf"
"SRX356769" "h3k27ac"
"SRX356770" "h3k27ac"
"SRX356771" "h3k27me3"
"SRX356772" "h3k27me3"
"SRX356773" "h3k36me3"
"SRX356774" "h3k36me3"
"SRX356775" "h3k4me1"
"SRX356776" "h3k4me1"
"SRX356777" "h3k4me3"
"SRX356778" "h3k4me3"
"SRX356782" "sa1"
"SRX356783" "sa1"
"SRX469951" NA
"SRX469953" NA
"SRX469955" NA
"SRX472275" NA
"SRX472276" NA
"SRX472277" NA
"SRX627215" "h3k27ac"
"SRX627216" "h3k27ac"
"SRX627218" "h3k27ac"
"SRX627219" "h3k27ac"
"SRX627220" "h3k27ac"
"SRX627221" "h3k27ac"
"SRX627222" "h3k27ac"
"SRX627223" "h3k27ac"
"SRX627224" "h3k27ac"
"SRX627225" "h3k27ac"
"SRX627226" "h3k27ac"
"SRX627227" "h3k27ac"
"SRX627228" "h3k27ac"
"SRX627229" "h3k27ac"
"SRX627230" "h3k27ac"
"SRX627231" "h3k27ac"
"SRX627232" "h3k27ac"
"SRX627233" "h3k27ac"
"SRX627234" "h3k27ac"
"SRX627235" "h3k27ac"
"SRX627236" "h3k27ac"
"SRX627237" "h3k27ac"
"SRX627238" "h3k27ac"
"SRX627239" "h3k27ac"
"SRX627243" "h3k27ac"
"SRX627244" "h3k27ac"
"SRX627245" "h3k27ac"
"SRX627246" "h3k27ac"
"SRX627247" "h3k27ac"
"SRX627248" "h3k27ac"
"SRX627249" "h3k27ac"
"SRX627250" "h3k27ac"
"SRX627251" "h3k27ac"
"SRX627252" "h3k27ac"
"SRX627253" "h3k27ac"
"SRX627254" "h3k27ac"
"SRX627255" "h3k27ac"
"SRX627256" "h3k27ac"
"SRX627257" "h3k27ac"
"SRX627258" "h3k27ac"
"SRX627259" "h3k27ac"
"SRX627260" "h3k27ac"
"SRX627261" "h3k27ac"
"SRX627262" "h3k27ac"
"SRX627263" "h3k27ac"
"SRX627264" "h3k27ac"
"SRX627265" "h3k27ac"
"SRX627266" "h3k27ac"
"SRX627267" "h3k27ac"
"SRX627268" "h3k27ac"
"SRX627269" "h3k27ac"
"SRX627270" "h3k27ac"
"SRX627271" "h3k27ac"
"SRX627272" "h3k27ac"
"SRX627273" "h3k27ac"
"SRX627274" "none(input)"
"SRX627275" "none(input)"
"SRX627276" "none(input)"
"SRX651470" NA
"SRX651490" NA
"SRX651491" NA
"SRX651492" NA
"SRX651493" NA
"SRX651494" NA
"SRX651495" NA
"SRX651496" NA
"SRX651497" NA
"SRX651498" NA
"SRX651499" NA
"SRX651500" NA
"SRX651501" NA
"SRX651502" NA
"SRX673279" "none"
"SRX764470" "h3k27ac"
"SRX764471" "h3k27ac"
"SRX764472" "h3k4me3"
"SRX764473" "h3k4me3"
"SRX764474" "h3k27ac"
"SRX764476" "h3k4me1"
"SRX764477" "h3k4me3"
"SRX764478" "h3k4me1"
"SRX764479" "h3k4me3"
"SRX764480" "h3k4me1"
"SRX764481" "h3k4me3"
"SRX764482" "h3k27ac"
"SRX764483" "h3k4me3"
"SRX764484" "h3k4me3"
"SRX764486" "h3k27ac"
"SRX764487" "h3k27ac"
"SRX764488" "h3k27ac"
"SRX764489" "h3k4me1"
"SRX764490" "h3k27ac"
"SRX764491" "h3k27ac"
"SRX764492" "h3k4me1"
"SRX764493" "h3k27ac"
"SRX764494" "h3k4me3"
"SRX764496" "h3k4me3"
"SRX764497" "h3k4me3"
"SRX764498" "h3k4me1"
"SRX764499" "h3k4me1"
"SRX764500" "h3k27ac"
"SRX764501" "h3k27ac"
"SRX764502" "h3k27ac"
"SRX764503" "h3k4me1"
"SRX764504" "h3k4me3"
"SRX764505" "h3k4me3"
"SRX764506" "h3k4me1"
"SRX764508" "h3k4me3"
"SRX764510" "h3k4me3"
"SRX764511" "h3k4me1"
"SRX764512" "h3k27ac"
"SRX764513" "h3k4me1"
"SRX764514" "h3k4me3"
"SRX764515" "h3k27ac"
"SRX764516" "h3k4me3"
"SRX764517" "h3k4me1"
"SRX764518" "h3k4me1"
"SRX764519" "h3k4me3"
"SRX764520" "h3k4me3"
"SRX764521" "h3k27ac"
"SRX764522" "h3k4me1"
"SRX764523" "h3k4me3"
"SRX764524" "h3k4me1"
"SRX764525" "h3k4me3"
"SRX764526" "h3k4me1"
"SRX764527" "h3k4me3"
"SRX764528" "h3k27ac"
"SRX764529" "h3k4me1"
"SRX764530" "h3k27ac"
"SRX764531" "h3k4me1"
"SRX764532" "h3k4me3"
"SRX764533" "h3k27ac"
"SRX764534" "h3k4me3"
"SRX764535" "h3k4me1"
"SRX764537" "h3k27ac"
"SRX764538" "h3k4me3"
"SRX764539" "h3k4me1"
"SRX764540" "h3k4me3"
"SRX764541" "h3k27ac"
"SRX764542" "h3k27ac"
"SRX764543" "h3k27ac"
"SRX764544" "h3k27ac"
"SRX764545" "h3k4me1"
"SRX764546" "h3k4me3"
"SRX764547" "h3k4me1"
"SRX764548" "h3k4me3"
"SRX764549" "h3k4me1"
"SRX764550" "h3k4me3"
"SRX764551" "h3k27ac"
"SRX764552" "h3k27ac"
"SRX764553" "h3k4me3"
"SRX764555" "h3k4me3"
"SRX764556" "h3k4me3"
"SRX764557" "h3k27ac"
"SRX764558" "h3k4me1"
"SRX764559" "h3k4me3"
"SRX764560" "h3k4me1"
"SRX764561" "h3k27ac"
"SRX764562" "h3k27ac"
"SRX764563" "h3k4me3"
"SRX764565" "h3k27ac"
"SRX764567" "h3k4me3"
"SRX764568" "h3k27ac"
"SRX764569" "h3k4me1"
"SRX764570" "h3k27ac"
"SRX764571" "h3k4me3"
"SRX764572" "h3k4me1"
"SRX764573" "h3k4me3"
"SRX764574" "h3k27ac"
"SRX764575" "h3k27ac"
"SRX764577" "h3k4me3"
"SRX764578" "h3k4me3"
"SRX764580" "h3k4me1"
"SRX764581" "h3k4me3"
"SRX764582" "h3k4me3"
"SRX764584" "h3k27ac"
