,DISEASE/TRAIT,CHR_ID,CHR_POS,CONTEXT,INTERGENIC
2,Systemic sclerosis,6,32441753,intron_variant,0.0
3,Systemic sclerosis,6,33075103,intron_variant,0.0
6,Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN),6,31125810,5_prime_UTR_variant,0.0
7,Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN),6,31168676,intron_variant,0.0
11,Prostate cancer,3,141383991,intron_variant,0.0
13,Prostate cancer,5,1279913,intron_variant,0.0
14,Prostate cancer,5,44365443,intron_variant,0.0
15,Prostate cancer,6,31150734,missense_variant,0.0
18,Type 2 diabetes,11,2822986,intron_variant,0.0
20,Hepcidin levels,6,26092913,missense_variant,0.0
21,Hepcidin levels,6,26092913,missense_variant,0.0
22,Hepcidin levels,6,26092913,missense_variant,0.0
23,Hepcidin levels,6,26092913,missense_variant,0.0
24,Hepcidin levels,22,37066896,missense_variant,0.0
25,Hepcidin levels,22,37066896,missense_variant,0.0
26,Hepcidin levels,22,37066896,missense_variant,0.0
27,Hepcidin levels,3,133765185,intron_variant,0.0
28,Adiponectin levels,16,82628663,intron_variant,0.0
29,Asthma,1,158962765,intron_variant,0.0
30,Asthma,2,102337157,5_prime_UTR_variant,0.0
33,Asthma,17,39908152,intron_variant,0.0
36,Aging (time to death),11,124146786,3_prime_UTR_variant,0.0
38,Aging (time to death),12,51310050,intron_variant,0.0
40,Asthma,4,143436584,intron_variant,0.0
42,Asthma,6,32187804,intron_variant,0.0
43,Asthma,6,32216568,non_coding_transcript_exon_variant,0.0
44,Asthma,6,32370918,intron_variant,0.0
45,Asthma,6,32390736,non_coding_transcript_exon_variant,0.0
51,Asthma,12,55970537,intron_variant,0.0
52,Asthma,12,56018703,intron_variant,0.0
53,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),6,10994782,intron_variant,0.0
54,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),6,10968908,intron_variant,0.0
55,Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid),6,11074114,intron_variant,0.0
56,Asthma,8,117013406,intron_variant,0.0
57,Asthma,6,33075103,intron_variant,0.0
58,Aging (time to event),19,3927773,3_prime_UTR_variant,0.0
62,Aging (time to event),12,13962548,intron_variant,0.0
64,Aging (time to event),2,237362251,intron_variant,0.0
65,Aging (time to event),1,43750157,intron_variant,0.0
66,Bipolar disorder,19,42016956,intron_variant,0.0
68,Bipolar disorder,15,78932341,intron_variant,0.0
69,Epirubicin-induced leukopenia,8,6465757,intron_variant,0.0
70,Epirubicin-induced leukopenia,4,112406922,intron_variant,0.0
71,Meningioma,10,21541175,intron_variant,0.0
72,Nevirapine-induced rash,6,31150242,intron_variant,0.0
74,vWF and FVIII levels,5,112357674,intron_variant,0.0
78,vWF and FVIII levels,9,133858398,intron_variant,0.0
79,vWF and FVIII levels,17,33410403,intron_variant,0.0
80,Coronary heart disease,6,12903725,intron_variant,0.0
81,Coronary heart disease,1,56500678,intron_variant,0.0
82,Parkinson's disease,9,35269822,intron_variant,0.0
83,Parkinson's disease,17,46710944,intron_variant,0.0
84,Parkinson's disease,17,46781778,intron_variant,0.0
85,Cortical thickness,15,26032398,intron_variant,0.0
86,Bladder cancer,18,45737001,intron_variant,0.0
87,Nevirapine-induced rash,5,90485154,intron_variant,0.0
89,Glioma,5,1286401,intron_variant,0.0
90,vWF and FVIII levels,6,89601247,intron_variant,0.0
92,vWF and FVIII levels,18,27989094,intron_variant,0.0
93,vWF and FVIII levels,12,103745256,missense_variant,0.0
94,Tardive dyskinesia,7,154374935,intron_variant,0.0
95,Iris characteristics,2,74744954,intergenic_variant,0.0
96,Iris characteristics,7,84027484,intron_variant,0.0
97,Iris characteristics,7,84027484,intron_variant,0.0
98,Iris characteristics,2,238397627,missense_variant,0.0
99,Iris characteristics,2,238397627,missense_variant,0.0
101,Iris characteristics,15,63623587,intron_variant,0.0
102,Rheumatoid arthritis,6,31654829,intron_variant,0.0
103,Graves' disease,1,157699488,intron_variant,0.0
109,Graves' disease,6,33092341,non_coding_transcript_exon_variant,0.0
110,Graves' disease,6,90212021,intron_variant,0.0
111,Graves' disease,6,166969587,intergenic_variant,0.0
113,Graves' disease,14,80984885,intron_variant,0.0
114,Butyrylcholinesterase levels,3,165773492,missense_variant,0.0
115,Butyrylcholinesterase levels,1,201983446,5_prime_UTR_variant,0.0
116,Butyrylcholinesterase levels,2,203384676,intron_variant,0.0
117,Osteoarthritis,13,113040195,intron_variant,0.0
118,Insulin resistance/response,15,26043247,intron_variant,0.0
123,Insulin resistance/response,3,53646097,intron_variant,0.0
124,Insulin resistance/response,22,26301229,intron_variant,0.0
125,Insulin resistance/response,9,82521000,intron_variant,0.0
126,Insulin resistance/response,6,38068644,intron_variant,0.0
127,Insulin resistance/response,9,86958168,intron_variant,0.0
128,Insulin resistance/response,3,53646097,intron_variant,0.0
